Room,Instance,MAC
52A,1204521,7
52B,1204522,8
53,1204530,9
54,1204540,10
55,1204550,11
56,1204560,12
57,1204570,13
58A,1204581,14
58B,1204582,15
59,1204590,16
60A,1204601,17
60B,1204602,18
61,1204610,19
62,1204620,20
63,1204630,21
64,1204640,22
65,1204650,23
66,1204660,24
68,1204680,25
69A,1204691,26
69B,1204692,27
75,1204750,28
